original_index,discussion_link,comment,removed,merged,method_signature,filename,link commit after,comment_ok,comment_found,change_ok,how to exclude,notes,commented_line,commented_file
0,https://github.com/prolificinteractive/material-calendarview/pull/512,What's wrong with setting the listener to null if it should already be guarding for null listeners,-,False,setOnTitleClickListener,library/src/main/java/com/prolificinteractive/materialcalendarview/MaterialCalendarView.java,https://github.com/prolificinteractive/material-calendarview/commit/a97c138c139aa8137b770773b6577651ab2a44f4,yes,,yes,,,1366,library/src/main/java/com/prolificinteractive/materialcalendarview/MaterialCalendarView.java
3,,is there something wrong with setting anull click listener?,-,False,setOnTitleClickListener,library/src/main/java/com/prolificinteractive/materialcalendarview/MaterialCalendarView.java,https://github.com/prolificinteractive/material-calendarview/commit/a97c138c139aa8137b770773b6577651ab2a44f4,yes,,yes,,duplicate of comment at line 2,1366,library/src/main/java/com/prolificinteractive/materialcalendarview/MaterialCalendarView.java
6,,"Actually no, that's how you remove it! I will cleanup, thanks",contributor's comment,False,setOnTitleClickListener,library/src/main/java/com/prolificinteractive/materialcalendarview/MaterialCalendarView.java,https://github.com/prolificinteractive/material-calendarview/commit/a97c138c139aa8137b770773b6577651ab2a44f4,no,,,,,1366,library/src/main/java/com/prolificinteractive/materialcalendarview/MaterialCalendarView.java
2,,is this being used?,"before = after, method befor not found",False,-,library/src/main/java/com/prolificinteractive/materialcalendarview/MaterialCalendarView.java,https://github.com/prolificinteractive/material-calendarview/commit/a97c138c139aa8137b770773b6577651ab2a44f4,yes,,yes,,class field,225,library/src/main/java/com/prolificinteractive/materialcalendarview/MaterialCalendarView.java
5,,Nope,"before = after, method befor not found, contributor's comment",False,-,library/src/main/java/com/prolificinteractive/materialcalendarview/MaterialCalendarView.java,https://github.com/prolificinteractive/material-calendarview/commit/a97c138c139aa8137b770773b6577651ab2a44f4,no,,,,,225,library/src/main/java/com/prolificinteractive/materialcalendarview/MaterialCalendarView.java
1,,string resources? or does it not matter,-,True,onCreate,sample/src/main/java/com/prolificinteractive/materialcalendarview/sample/DynamicSettersActivity.java,https://github.com/prolificinteractive/material-calendarview/commit/a97c138c139aa8137b770773b6577651ab2a44f4,yes,,yes,,,51,sample/src/main/java/com/prolificinteractive/materialcalendarview/sample/DynamicSettersActivity.java
4,,"👍 
","empty comment (without stopwords), empty comment, Irrelevant comment, contributor's comment",True,onCreate,-,https://github.com/prolificinteractive/material-calendarview/commit/a97c138c139aa8137b770773b6577651ab2a44f4,no,,,,,51,sample/src/main/java/com/prolificinteractive/materialcalendarview/sample/DynamicSettersActivity.java
7,https://github.com/thorntail/thorntail-fraction-plugin/pull/78,What do we gain by being more restrictive here and in the other places where `log.error` was translated to throwing an exception?,before = after,True,apply,src/main/java/org/wildfly/swarm/plugin/process/CDIMarker.java,https://github.com/thorntail/thorntail-fraction-plugin/commit/31801510c07a0c50ba97ca421f0949a5cf713f4d,yes,,no,contributor's answer shows why change is not needed,,37,src/main/java/org/wildfly/swarm/plugin/process/CDIMarker.java
8,,Failing a build when the necessary pieces of a fraction are not generated successfully. The fraction just isn't complete.,"before = after, contributor's comment",True,apply,src/main/java/org/wildfly/swarm/plugin/process/CDIMarker.java,https://github.com/thorntail/thorntail-fraction-plugin/commit/31801510c07a0c50ba97ca421f0949a5cf713f4d,no,,no,contributor's answer to comment at line 9,,37,src/main/java/org/wildfly/swarm/plugin/process/CDIMarker.java
9,,why do we need to exclude platform modules now and didn't have to do it earlier?,"before = after, method befor not found",True,-,src/main/java/org/wildfly/swarm/plugin/process/ModuleFiller.java,https://github.com/thorntail/thorntail-fraction-plugin/commit/31801510c07a0c50ba97ca421f0949a5cf713f4d,yes,,no,contributor's answer shows why change is not needed,,91,src/main/java/org/wildfly/swarm/plugin/process/ModuleFiller.java
10,,"Because there were no platform modules previously :-) JBoss Modules is JPMS-ready (well, sort of, I don't really know) and emulates the platform modules on Java 8. In any case (be it Java 8 or Java 9+), there is no `module.xml` for these modules that could be analyzed.","before = after, method befor not found, contributor's comment",True,-,src/main/java/org/wildfly/swarm/plugin/process/ModuleFiller.java,https://github.com/thorntail/thorntail-fraction-plugin/commit/31801510c07a0c50ba97ca421f0949a5cf713f4d,no,,,contributor's answer to comment at line 11,,91,src/main/java/org/wildfly/swarm/plugin/process/ModuleFiller.java
11,,"This will log ""totalSize: 0+ MB"" in case of the unknown size. Maybe ""totalSize: unknown"" ? '0+' is a bit cryptic unless it is a convention I'm unaware of... ",-,True,apply,src/main/java/org/wildfly/swarm/plugin/process/ModuleFiller.java,https://github.com/thorntail/thorntail-fraction-plugin/commit/31801510c07a0c50ba97ca421f0949a5cf713f4d,yes,,yes,,,148,src/main/java/org/wildfly/swarm/plugin/process/ModuleFiller.java
12,,"Yea, if no artifact could be resolved, then it would indeed print `0+ MB`, which looks weird. Typically, some artifacts could be resolved and some couldn't, in which case it would print e.g. `2.35+ MB`, which I think is a well-known convention for ""more than 2.35 MB"".

But I agree that for the zero case, it should indeed print ""unknown size"".",contributor's comment,True,apply,-,https://github.com/thorntail/thorntail-fraction-plugin/commit/31801510c07a0c50ba97ca421f0949a5cf713f4d,no,,,contributor's answer to comment at line 13,,148,src/main/java/org/wildfly/swarm/plugin/process/ModuleFiller.java
13,,Fixed.,"Irrelevant comment, contributor's comment",True,apply,src/main/java/org/wildfly/swarm/plugin/process/ModuleFiller.java,https://github.com/thorntail/thorntail-fraction-plugin/commit/31801510c07a0c50ba97ca421f0949a5cf713f4d,no,,,contributor's answer to comment at line 14,,148,src/main/java/org/wildfly/swarm/plugin/process/ModuleFiller.java
14,https://github.com/jenkinsci/dashboard-view-plugin/pull/28,"Can you please explain this change and similar changes to this code?
",too long instance,True,getSummaryGraph,src/main/java/hudson/plugins/view/dashboard/test/TestTrendChart.java,https://github.com/jenkinsci/dashboard-view-plugin/commit/cfce3f1abcf13e5e3173631146d30b5d413458ae,yes,,yes,,,152,src/main/java/hudson/plugins/view/dashboard/test/TestTrendChart.java
15,,"`dateShift`  and `60000` are both `int`s so multiplication could in theory overflow resulting in an incorrect calculation of the `run.getTimeInMillis() - dateShift*60000l.`  (`run.getTimeInMillis()` is a `long`).
By specifying the constant 60000 as a long this prevents the overflow.
",too long instance,True,getSummaryGraph,src/main/java/hudson/plugins/view/dashboard/test/TestTrendChart.java,https://github.com/jenkinsci/dashboard-view-plugin/commit/cfce3f1abcf13e5e3173631146d30b5d413458ae,no,,,contributor's answer,,152,src/main/java/hudson/plugins/view/dashboard/test/TestTrendChart.java
17,,"Should it not be `L` rather than `l` as I thought for a second that the change was `6000` to `60001`
",too long instance,True,getSummaryGraph,src/main/java/hudson/plugins/view/dashboard/test/TestTrendChart.java,https://github.com/jenkinsci/dashboard-view-plugin/commit/cfce3f1abcf13e5e3173631146d30b5d413458ae,yes,,yes,,related to discussion starting at line 16,152,src/main/java/hudson/plugins/view/dashboard/test/TestTrendChart.java
